Input,Base Model Output,Fine-tuned Output,Match
"The Mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Mac mini"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""smaller"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""quiet","{""domain"":""electronics"",""aspects"":[{""term"":""Mac mini size"",""polarity"":""positive""},{""term"":""fans"",""polarity"":""negative""}]}",False
MAYBE The Mac OS improvement were not The product they Want to offer.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""Mac OS"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Mac OS improvement"",""polarity"":""negative""},{""term"":""product they Want to offer"",""polarity"":""negative""}]}",False
It came before the day it supposed to which is great.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""day"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""day it supposed to"",""polarity"":""positive""}]}",False
I thought the transition would be difficult at best and would take some time to fully familiarize myself with the new Mac ecosystem.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""transition"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""difficulty"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""familiarization","{""domain"":""electronics"",""aspects"":[{""term"":""transition"",""polarity"":""neutral""},{""term"":""Mac ecosystem"",""polarity"":""positive""}]}",False
It's absolutely wonderful and worth the price!,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""wonderful"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""price"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""It's absolutely wonderful"",""polarity"":""positive""},{""term"":""price"",""polarity"":""positive""}]}",False
"It's a good fix, in my opinion.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""fix"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""fix"",""polarity"":""positive""}]}",False
I am please with the products ease of use out of the box ready appearance and functionality.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""products"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""ease of use"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""out","{""domain"":""electronics"",""aspects"":[{""term"":""products"",""polarity"":""positive""},{""term"":""ease of use"",""polarity"":""positive""},{""term"":""out of the box"",""polarity"":""positive""},{""term"":""ready appearance"",""polarity"":""positive""},{""term"":""functionality"",""polarity"":""positive""}]}",False
Buying a Mac Mini would allow me to make the transition.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Mac Mini"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Mac Mini"",""polarity"":""positive""}]}",False
"Before I begin, I will say that I am not like a good percentage of the people that will end up writing a review on this computer  I am not an Apple fanboy.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""computer"",
            ""polarity"": ""neutral""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple fanboy"",""polarity"":""negative""},{""term"":""review"",""polarity"":""neutral""}]}",False
its by far faster and more stable then my PC.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""speed"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""stability"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""PC performance"",""polarity"":""negative""},{""term"":""new system performance"",""polarity"":""positive""}]}",False
I purchased a MacBook Pro and this to replace a couple of HP units that I was using.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook Pro"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""HP units"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""MacBook Pro"",""polarity"":""positive""},{""term"":""HP units"",""polarity"":""neutral""}]}",False
"you will not regret it, promise you!","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""promise"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""it"",""polarity"":""positive""}]}",False
"Moving from a PC to Mac has never been easier, and I'm glad that I did it.","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""PC"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""Mac"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""PC to Mac migration"",""polarity"":""positive""}]}",False
Perfect for all my graphic design classes I'm taking this year in college,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""graphic design classes"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""books"",""aspects"":[{""term"":""graphic design classes"",""polarity"":""positive""}]}",False
Have used only Macs for years.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Macs"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Macs"",""polarity"":""positive""}]}",False
"Being a tech savvy, APPLE  product loving person, I'm glad I finally got the MacBook Pro!","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook Pro"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""APPLE product"",""polarity"":""positive""},{""term"":""MacBook Pro"",""polarity"":""positive""}]}",False
I was always against them but now I buying one I'll never go back to PC.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""PC"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""PC"",""polarity"":""negative""},{""term"":""them"",""polarity"":""neutral""},{""term"":""buying one"",""polarity"":""positive""}]}",False
I will not be using that slot again.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""slot"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""that slot"",""polarity"":""negative""}]}",False
I think that was a great decision to buy,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""decision"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""decision to buy"",""polarity"":""positive""}]}",False
"The OS is fast and fluid, everything is organized and it's just beautiful.","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""OS"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""OS"",""polarity"":""positive""}]}",False
"It will make life so much easier next semester, just wish I had it last semester!!","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""life"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""semester"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""life"",""polarity"":""positive""},{""term"":""it"",""polarity"":""positive""}]}",False
"I paid for a new laptop, but was sent a used one.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""laptop"",""polarity"":""negative""}]}",False
Searched it on amazon and on bestbuy.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""amazon"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""bestbuy"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Amazon"",""polarity"":""neutral""},{""term"":""BestBuy"",""polarity"":""neutral""}]}",False
I bought this one for my 11 year old and the MacBook Air for my 9 year old.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""MacBook Air"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""one"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""MacBook Air"",""polarity"":""neutral""}]}",False
I bought it for college and so far it's amazing!,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""college"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""it"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""amazing"",","{""domain"":""general"",""aspects"":[{""term"":""it"",""polarity"":""positive""}]}",False
They are simpler to use.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""simpler"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""They"",""polarity"":""positive""}]}",False
It was at my door in less than 24 hours.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""door"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""delivery time"",""polarity"":""positive""}]}",False
It's also very pricey but you just have to tell yourself it's an investment and that it's gonna last you a long time.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""pricey"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""investment"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""long time","{""domain"":""general"",""aspects"":[{""term"":""price"",""polarity"":""negative""},{""term"":""investment"",""polarity"":""positive""}]}",False
It was getting old and I needed a new school computer.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""school computer"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""school computer"",""polarity"":""negative""}]}",False
!so nice .. stable .. fast .. now i got my SSD !,"```json
{
  ""domain"": ""hardware"",
  ""aspects"": [
    {
      ""term"": ""SSD"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Stable"",""polarity"":""positive""},{""term"":""Fast"",""polarity"":""positive""},{""term"":""SSD"",""polarity"":""neutral""}]}",False
I love apple but unlike others That does not prevent me to not be honest about how i like it and if its good or not.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""apple"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""apple"",""polarity"":""positive""}]}",False
"So, I'm cooled on Mac buys.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Mac"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Mac buys"",""polarity"":""negative""}]}",False
It is a great computer for that and I have to say I'm happy I switched.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""computer"",""polarity"":""positive""}]}",False
"Also, in using the builtin camera, my voice recording for my vlog sounds like the interplanetary transmissions in the ""Star Wars"" saga.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""builtin camera"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""voice recording"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""v","{""domain"":""electronics"",""aspects"":[{""term"":""builtin camera"",""polarity"":""neutral""},{""term"":""voice recording"",""polarity"":""negative""},{""term"":""interplanetary transmissions"",""polarity"":""positive""}]}",False
Overall a nice computer.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""computer"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Computer"",""polarity"":""positive""}]}",False
"You can imagine that an expensive item as a laptop will not be left on your front steps, it needs signature to pove that you received it.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""expensive item"",""polarity"":""negative""},{""term"":""signature required"",""polarity"":""neutral""}]}",False
I love the quick start up.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""love"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Quick start up"",""polarity"":""positive""}]}",False
